SA2_MAINCODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EPT_DC_0_4,M_LPLFS_EAW_DC_0_4,M_LPLFS_HNS_DC_0_4,M_LPLFS_EW_T_DC_0_4,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_U_T_DC_0_4,M_LPLFS_T_LF_DC_0_4,M_LPLFS_NLF_DC_0_4,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_T_DC_0_4,F_LPLFS_EFT_DC_0_4,F_LPLFS_EPT_DC_0_4,F_LPLFS_EAW_DC_0_4,F_LPLFS_HNS_DC_0_4,F_LPLFS_EW_T_DC_0_4,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_U_T_DC_0_4,F_LPLFS_T_LF_DC_0_4,F_LPLFS_NLF_DC_0_4,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_T_DC_0_4,T_LPLFS_EFT_DC_0_4
205031091,3,0,0,0,5,0,0,0,5,0,0,6,7,19,3,0,28,3,0,3,30,44,0,76,6
205031092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205031093,12,3,0,0,13,3,0,3,14,14,0,27,8,42,8,0,61,0,8,8,66,118,8,193,15
205041094,6,0,0,0,5,0,0,0,5,4,0,15,7,22,3,0,27,3,4,6,34,79,0,112,11
205041095,4,3,0,0,8,5,0,5,16,8,0,21,5,35,8,3,50,4,5,11,66,163,0,226,10
205041096,5,0,0,0,5,5,0,3,11,20,0,23,11,27,0,3,42,3,14,13,57,196,8,257,14
205041097,18,0,0,0,17,0,0,0,17,3,0,21,12,48,12,0,73,10,13,20,99,167,3,268,31
205041098,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,14,0,3,3,13,25,0,43,0
205051099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205051100,0,0,0,0,0,0,0,0,0,0,0,3,0,14,0,0,13,0,0,0,13,17,0,26,0
205051101,5,0,0,0,6,0,0,0,6,0,0,6,10,28,0,3,42,0,6,10,49,77,0,124,11
205051102,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,9,0,0,0,12,17,0,26,0
205051103,0,0,0,0,3,0,0,0,3,0,0,5,21,41,3,0,62,3,7,8,72,91,0,161,18
205051104,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,11,0,0,0,10,38,0,46,3
206011105,0,0,0,0,0,0,0,0,0,0,0,8,9,20,0,0,36,0,0,4,36,34,0,71,11
206011106,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,3,18,0,0,0,23,10,0,27,5
206011107,3,0,0,0,3,0,0,0,3,0,0,3,10,16,3,0,27,0,4,7,31,22,0,60,9
206011108,0,0,0,0,0,0,0,0,3,3,0,3,12,27,4,0,36,3,0,6,47,40,0,83,12
206011109,3,0,0,0,3,0,0,0,3,0,0,3,3,11,0,0,8,0,3,3,14,16,0,28,6
206021110,3,0,0,0,3,0,0,0,3,0,0,3,7,8,0,0,20,0,0,0,17,15,0,30,10
206021111,3,0,0,0,3,0,0,0,3,0,0,3,10,28,3,0,45,0,0,4,46,21,0,66,13
206021112,4,5,0,0,10,0,0,0,10,3,0,9,14,24,6,0,38,0,0,0,41,32,0,79,16
206031113,3,0,0,0,4,0,0,0,4,0,0,3,8,17,0,0,30,9,3,11,39,81,3,117,9
206031114,4,0,0,0,8,0,0,0,4,0,0,4,14,16,3,0,36,3,0,5,38,38,0,73,12
206031115,0,3,0,0,4,0,0,0,4,5,0,7,3,16,0,3,25,0,3,5,26,73,0,99,9
206031116,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,10,0,0,3,12,11,0,28,3
206041117,0,0,0,0,0,0,0,0,0,3,0,3,7,5,0,0,18,0,4,4,21,53,3,80,7
206041118,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,22,0,0,0,19,11,0,27,14
206041119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,5,3,0,9,0
206041120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206041121,0,0,0,0,0,3,0,4,6,3,0,5,6,13,4,0,18,0,0,0,22,25,0,41,7
206041122,8,0,0,0,8,0,0,0,8,3,0,9,9,8,0,0,16,0,3,3,21,35,0,58,17
206041123,7,0,0,0,8,0,0,0,4,0,0,10,12,12,0,0,26,0,3,3,27,71,4,111,16
